Fe,Cr,Mo,T,NP_BCC_A2,NP_CHI_A12,NP_FCC_A1,NP_LAVES_PHASE,NP_LIQUID,NP_MU_PHASE,NP_MU_PHASE_I,NP_R_PHASE,NP_SIGMA,GM,HM,SM,CPM,converged,in_stainless_box
0.6922864242990935,0.13499554173885403,0.17271803396205251,1395.2701566457733,0.22763692387771303,0.6506849401100219,0.0,0.0,0.0,0.0,0.0,0.12167813644832412,0.0,-76125.50048968452,0.0,0.0,0.0,True,1
0.46204271201280667,0.3174173913948657,0.22053989659232762,1102.769062086247,0.0,0.0511084487768799,0.0,0.0,0.0,0.3315431101340294,0.0,0.0,0.6173484411036441,-52466.71519670685,0.0,0.0,0.0,True,0
0.6299350268377428,0.2480102426431359,0.12205473051912134,1604.0374402907792,0.6282081417182845,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.37179185827713723,-94674.38852473872,0.0,0.0,0.0,True,1
0.394000699788257,0.16949988472237887,0.4364994154893641,924.8055000970108,0.017896562981380516,0.0,0.0,0.0,0.0,0.9728037084925186,0.0,0.0,0.009299728518984517,-40623.10733383671,0.0,0.0,0.0,True,0
0.5897481564898424,0.33244334144904636,0.0778085020611112,1999.3845212813933,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,-133191.62175575976,0.0,0.0,0.0,True,0
0.8840598314292841,0.0022837002890657007,0.11365646828165026,1937.2968510161263,0.0,0.0,0.0,0.0,0.9999999999999997,0.0,0.0,0.0,0.0,-124794.09687314874,0.0,0.0,0.0,True,1
0.5307088285293201,0.3272216492588469,0.14206952221183297,1790.2346139236133,0.0,0.0,0.0,0.0,0.29956173545572634,0.0,0.0,0.0,0.7004382644915879,-111784.4078836201,0.0,0.0,0.0,True,0
0.9595779217286456,0.004568043611337363,0.03585403466001697,775.0746225998986,0.905524937794728,0.0,0.0,0.09447506220528715,0.0,0.0,0.0,0.0,0.0,-28967.901925141276,0.0,0.0,0.0,True,1
0.06555024376530322,0.6746682226674063,0.25978153356729045,853.1970711775804,0.9429656622217172,0.0,0.0,0.0,0.0,0.05703433776611217,0.0,0.0,0.0,-31276.962364360865,0.0,0.0,0.0,True,0
0.44156405834993906,0.13540477241805096,0.42303116923201,1651.1425172742115,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16732950118049056,0.8326704988167747,-97868.8997740667,0.0,0.0,0.0,True,0
0.3589306094587161,0.37332029240020054,0.26774909814108333,1018.3111713518307,0.0,0.0,0.0,0.0,0.0,0.29727624259189356,0.0,0.0,0.7027237574718045,-45910.36745546651,0.0,0.0,0.0,True,0
0.6201313767897714,0.3438877953342094,0.03598082787601922,1480.3552658084063,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-82371.70202244396,0.0,0.0,0.0,True,0
0.6283719935594009,0.05544114064944039,0.31618686579115873,1485.8161122688832,0.010846312169906672,0.0,0.0,0.0,0.0,0.0,0.0,0.9891536877637648,0.0,-83654.9061971584,0.0,0.0,0.0,True,0
0.6725055420300345,0.13734262928233118,0.19015182868763422,933.7032201333853,0.36490828811226617,0.10840273763164175,0.0,0.5266889741375554,0.0,0.0,0.0,0.0,0.0,-40665.384148176214,0.0,0.0,0.0,True,1
0.8037329260459501,0.04644153453142942,0.14982553942262045,1923.6142663686787,0.0,0.0,0.0,0.0,0.9999999999999999,0.0,0.0,0.0,0.0,-125373.99615679028,0.0,0.0,0.0,True,1
